State,District,Crop,Season,Area-2024-25,Production-2024-25,Yield-2024-25
Punjab,Malerkotla,Total Food Grains,Rabi,0.53,2.86,5430
Punjab,Malerkotla,Total Food Grains,Summer,0,0,1250
Punjab,Malerkotla,Total Food Grains,Total,1.06,5.71,5369
Punjab,Mansa,Rice,Kharif,1.44,6.38,4434
Punjab,Mansa,Rice,Total,1.44,6.38,4434
Punjab,Mansa,Wheat,Rabi,1.72,9.08,5276
Punjab,Mansa,Wheat,Total,1.72,9.08,5276
Punjab,Mansa,Maize,Kharif,0,0,4234
Punjab,Mansa,Maize,Total,0,0,4234
Punjab,Mansa,Barley,Rabi,0,0.01,3273
Punjab,Mansa,Barley,Total,0,0.01,3273
Punjab,Mansa,Bajra,Kharif,0,0,950
Punjab,Mansa,Bajra,Total,0,0,950
Punjab,Mansa,Shree Anna /Nutri Cereals,Kharif,0,0,950
Punjab,Mansa,Shree Anna /Nutri Cereals,Total,0,0,950
Punjab,Mansa,Nutri/Coarse Cereals,Kharif,0.01,0.01,1607
Punjab,Mansa,Nutri/Coarse Cereals,Rabi,0,0.01,3273
Punjab,Mansa,Nutri/Coarse Cereals,Total,0.01,0.02,2232
Punjab,Mansa,Cereals,Kharif,1.44,6.38,4424
Punjab,Mansa,Cereals,Rabi,1.72,9.09,5273
Punjab,Mansa,Cereals,Total,3.17,15.47,4886
Punjab,Mansa,Gram,Rabi,0,0,1401
Punjab,Mansa,Gram,Total,0,0,1401
Punjab,Mansa,Moong,Kharif,0,0,582
Punjab,Mansa,Moong,Summer,0.08,0.05,650
Punjab,Mansa,Moong,Total,0.08,0.05,649
Punjab,Mansa,Total Pulses,Total,0.08,0.05,656
Punjab,Mansa,Total Food Grains,Kharif,1.44,6.38,4421
Punjab,Mansa,Total Food Grains,Rabi,1.72,9.09,5271
Punjab,Mansa,Total Food Grains,Summer,0.08,0.05,650
Punjab,Mansa,Total Food Grains,Total,3.25,15.53,4784
Punjab,Moga,Rice,Kharif,1.85,8.72,4721
Punjab,Moga,Rice,Total,1.85,8.72,4721
Punjab,Moga,Wheat,Rabi,1.76,9.44,5360
Punjab,Moga,Wheat,Total,1.76,9.44,5360
Punjab,Moga,Maize,Kharif,0,0.01,4234
Punjab,Moga,Maize,Total,0,0.01,4234
Punjab,Moga,Barley,Rabi,0,0.01,3809
Punjab,Moga,Barley,Total,0,0.01,3809
Punjab,Moga,Nutri/Coarse Cereals,Kharif,0,0.01,4234
Punjab,Moga,Nutri/Coarse Cereals,Rabi,0,0.01,3809
Punjab,Moga,Nutri/Coarse Cereals,Total,0,0.02,4022
Punjab,Moga,Cereals,Kharif,1.85,8.73,4720
Punjab,Moga,Cereals,Rabi,1.76,9.45,5358
Punjab,Moga,Cereals,Total,3.61,18.17,5032
Punjab,Moga,Tur,Kharif,0,0,1116
Punjab,Moga,Tur,Total,0,0,1116
Punjab,Moga,Moong,Kharif,0,0,785
Punjab,Moga,Moong,Summer,0.04,0.04,1000
Punjab,Moga,Moong,Total,0.04,0.04,995
Punjab,Moga,Total Pulses,Total,0.05,0.05,1003
Punjab,Moga,Total Food Grains,Kharif,1.85,8.73,4712
Punjab,Moga,Total Food Grains,Rabi,1.76,9.45,5358
Punjab,Moga,Total Food Grains,Summer,0.04,0.04,1000
Punjab,Moga,Total Food Grains,Total,3.66,18.22,4980
Punjab,Pathankot,Rice,Kharif,0.27,1,3648
Punjab,Pathankot,Rice,Total,0.27,1,3648
Punjab,Pathankot,Wheat,Rabi,0.4,1.68,4184
Punjab,Pathankot,Wheat,Total,0.4,1.68,4184
Punjab,Pathankot,Maize,Kharif,0.06,0.2,3313
Punjab,Pathankot,Maize,Total,0.06,0.2,3313
Punjab,Pathankot,Barley,Rabi,0,0,3116
Punjab,Pathankot,Barley,Total,0,0,3116
Punjab,Pathankot,Nutri/Coarse Cereals,Kharif,0.06,0.2,3313
Punjab,Pathankot,Nutri/Coarse Cereals,Rabi,0,0,3116
Punjab,Pathankot,Nutri/Coarse Cereals,Total,0.06,0.2,3313
Punjab,Pathankot,Cereals,Kharif,0.33,1.19,3588
Punjab,Pathankot,Cereals,Rabi,0.4,1.68,4183
Punjab,Pathankot,Cereals,Total,0.73,2.87,3913
Punjab,Pathankot,Gram,Rabi,0,0,1210
Punjab,Pathankot,Gram,Total,0,0,1210
Punjab,Pathankot,Urad,Kharif,0.01,0.01,544
Punjab,Pathankot,Urad,Total,0.01,0.01,544
Punjab,Pathankot,Moong,Summer,0,0,880
Punjab,Pathankot,Moong,Total,0,0,880
Punjab,Pathankot,Total Pulses,Total,0.01,0.01,577
Punjab,Pathankot,Total Food Grains,Kharif,0.34,1.2,3499
Punjab,Pathankot,Total Food Grains,Rabi,0.4,1.68,4182
Punjab,Pathankot,Total Food Grains,Summer,0,0,880
Punjab,Pathankot,Total Food Grains,Total,0.74,2.88,3865
Punjab,Patiala,Rice,Kharif,2.33,10.45,4483
Punjab,Patiala,Rice,Total,2.33,10.45,4483
Punjab,Patiala,Wheat,Rabi,2.31,11.65,5038
Punjab,Patiala,Wheat,Total,2.31,11.65,5038
Punjab,Patiala,Maize,Kharif,0.01,0.04,5031
Punjab,Patiala,Maize,Total,0.01,0.04,5031
Punjab,Patiala,Barley,Rabi,0,0.01,4093
Punjab,Patiala,Barley,Total,0,0.01,4093
Punjab,Patiala,Nutri/Coarse Cereals,Kharif,0.01,0.04,5031
Punjab,Patiala,Nutri/Coarse Cereals,Rabi,0,0.01,4093
Punjab,Patiala,Nutri/Coarse Cereals,Total,0.01,0.04,4822
Punjab,Patiala,Cereals,Kharif,2.34,10.49,4484
Punjab,Patiala,Cereals,Rabi,2.32,11.66,5038
Punjab,Patiala,Cereals,Total,4.65,22.15,4760
Punjab,Patiala,Moong,Summer,0,0,1000
Punjab,Patiala,Moong,Total,0,0,1000
Punjab,Patiala,Total Pulses,Total,0,0,1000
Punjab,Patiala,Total Food Grains,Kharif,2.34,10.49,4484
Punjab,Patiala,Total Food Grains,Rabi,2.32,11.66,5038
Punjab,Patiala,Total Food Grains,Summer,0,0,1000
Punjab,Patiala,Total Food Grains,Total,4.66,22.15,4758
Punjab,Rupnagar,Rice,Kharif,0.42,1.71,4108
Punjab,Rupnagar,Rice,Total,0.42,1.71,4108
Punjab,Rupnagar,Wheat,Rabi,0.67,3.12,4630
Punjab,Rupnagar,Wheat,Total,0.67,3.12,4630
Punjab,Rupnagar,Maize,Kharif,0.2,1.12,5535
Punjab,Rupnagar,Maize,Total,0.2,1.12,5535
Punjab,Rupnagar,Barley,Rabi,0,0,4441
Punjab,Rupnagar,Barley,Total,0,0,4441
Punjab,Rupnagar,Nutri/Coarse Cereals,Kharif,0.2,1.12,5535
Punjab,Rupnagar,Nutri/Coarse Cereals,Rabi,0,0,4441
Punjab,Rupnagar,Nutri/Coarse Cereals,Total,0.2,1.13,5529
Punjab,Rupnagar,Cereals,Kharif,0.62,2.84,4575
Punjab,Rupnagar,Cereals,Rabi,0.67,3.12,4630
Punjab,Rupnagar,Cereals,Total,1.29,5.96,4604
Punjab,Rupnagar,Gram,Rabi,0,0,1003
Punjab,Rupnagar,Gram,Total,0,0,1003
Punjab,Rupnagar,Urad,Kharif,0,0,493
Punjab,Rupnagar,Urad,Total,0,0,493
Punjab,Rupnagar,Moong,Summer,0,0,950
Punjab,Rupnagar,Moong,Total,0,0,950
Punjab,Rupnagar,Lentil,Rabi,0,0,332
Punjab,Rupnagar,Lentil,Total,0,0,332
Punjab,Rupnagar,Total Pulses,Total,0,0,642
Punjab,Rupnagar,Total Food Grains,Kharif,0.62,2.84,4569
Punjab,Rupnagar,Total Food Grains,Rabi,0.67,3.12,4624
Punjab,Rupnagar,Total Food Grains,Summer,0,0,950
Punjab,Rupnagar,Total Food Grains,Total,1.3,5.96,4596
Punjab,S.A.S Nagar,Rice,Kharif,0.33,1.27,3884
Punjab,S.A.S Nagar,Rice,Total,0.33,1.27,3884
Punjab,S.A.S Nagar,Wheat,Rabi,0.52,2.41,4680
Punjab,S.A.S Nagar,Wheat,Total,0.52,2.41,4680
Punjab,S.A.S Nagar,Maize,Kharif,0.05,0.2,4550
Punjab,S.A.S Nagar,Maize,Total,0.05,0.2,4550
Punjab,S.A.S Nagar,Barley,Rabi,0,0.01,4009
Punjab,S.A.S Nagar,Barley,Total,0,0.01,4009
Punjab,S.A.S Nagar,Bajra,Kharif,0,0,948
Punjab,S.A.S Nagar,Bajra,Total,0,0,948
Punjab,S.A.S Nagar,Shree Anna /Nutri Cereals,Kharif,0,0,948
Punjab,S.A.S Nagar,Shree Anna /Nutri Cereals,Total,0,0,948
Punjab,S.A.S Nagar,Nutri/Coarse Cereals,Kharif,0.05,0.21,4397
Punjab,S.A.S Nagar,Nutri/Coarse Cereals,Rabi,0,0.01,4009
